id,str
4275,[126,141,283]
4276,[130,343]
4277,[126,206,294]
4278,[126,130,294]
4279,[126,233,294]
4280,[126,130,343]
4282,[130,171,283]
4283,[331]
4285,[388]
4286,[127,230,283]
4287,[127,146,275]
4288,[122,361]
4289,[130,206,343]
4290,[137,212,343]
4291,[219,344]
4292,[132,172,343]
4293,[199,231,333]
4294,[137,140,282]
4295,[209,349]
4296,[215,349]
4297,[222,350]
4298,[131,206,333]
4299,[138,212,333]
4300,[219,338]
4301,[132,206,334]
4302,[173,212,334]
4303,[219,339]
4304,[134,207,345]
4305,[136,213,345]
4306,[220,346]
4307,[142,175,343]
4308,[127,343]
4309,[126,171,283]
4310,[144,199,333]
4311,[139,143,283]
4312,[142,230,294]
4313,[209,255,335]
4314,[215,256,335]
4315,[222,223,340]
4316,[209,210,336]
4317,[215,216,336]
4318,[222,225,341]
4319,[127,333]
4320,[126,137,294]
4321,[171,230,282]
4322,[133,206,337]
4323,[125,212,337]
4324,[219,342]
4325,[173,235,333]
4326,[137,175,282]
4327,[171,175,276]
4328,[127,130,333]
4329,[140,144,283]
4330,[175,230,283]
4331,[138,252,333]
4332,[126,140,282]
4333,[137,171,283]
4334,[255,353]
4335,[256,353]
4336,[223,351]
4337,[210,255,352]
4338,[216,256,352]
4339,[223,225,347]
4340,[210,329]
4341,[216,329]
4342,[225,332]
4343,[210,348]
4344,[216,348]
4345,[225,382]
4352,[42,240,246,339]
4353,[47,241,246,339]
4354,[116,160,161,197,232,264,288]
4356,[161,233,235,343]
4361,[164,230,233,343]
4364,[166,230,231,343]
4365,[166,239,240,344]
4367,[41,168,184,196,207,264,292]
4371,[170,248,332]
4373,[177,248,341]
4376,[43,180,230,334]
4377,[43,239,243,339]
4378,[41,230,236,343]
4379,[41,239,246,344]
4380,[48,241,242,306]
4381,[186,231,236,303]
4383,[117,240,241,306]
4385,[189,230,252,303]
4386,[191,221,330]
4387,[192,221,330]
4388,[192,226,380]
4390,[193,248,254,382]
4391,[194,212,236,343]
4392,[194,214,246,344]
4393,[45,214,241,342]
4394,[196,206,236,337]
4396,[197,206,235,334]
4398,[198,203,349]
4402,[201,245,247,340]
4403,[202,303]
4404,[202,306]
4405,[205,254,332]
4408,[229,345]
4409,[229,346]
4410,[46,200,234,257,267,270,361]
4411,[46,214,243,339]
4412,[242,258,306]
4414,[240,243,261,344]
4415,[233,252,272,343]
4416,[240,253,262,344]
4417,[212,233,263,343]
4418,[214,242,263,344]
4419,[208,242,264,344]
4420,[247,254,265,341]
4421,[245,254,266,347]
4422,[212,252,267,333]
4423,[214,253,267,338]
4424,[212,231,268,343]
4425,[214,240,268,344]
4426,[206,231,269,343]
4427,[208,240,269,344]
4428,[206,252,270,334]
4430,[171,301]
4433,[172,305]
4436,[125,301]
4438,[301]
4440,[176,301]
4442,[181,303]
4444,[178,204,353]
4446,[137,235,343]
4447,[172,230,343]
4448,[139,140,343]
4450,[140,199,343]
4451,[135,140,343]
4452,[180,206,234,333]
4453,[118,140,343]
4454,[208,234,243,338]
4455,[126,235,343]
4456,[130,230,343]
4457,[130,140,294]
4458,[140,142,343]
4459,[180,199,343]
4460,[228,235,343]
4461,[140,156,343]
4462,[118,140,343]
4463,[141,235,343]
4464,[141,173,343]
4465,[135,141,343]
4466,[141,176,343]
4467,[137,236,343]
4468,[141,156,343]
4469,[137,141,343]
4470,[228,236,343]
4471,[135,230,343]
4472,[142,156,343]
4473,[142,343]
4474,[135,142,343]
4475,[127,142,343]
4476,[126,180,343]
4477,[142,199,343]
4478,[127,142,303]
4479,[142,343]
4480,[142,172,343]
4481,[130,152,343]
4482,[127,143,343]
4483,[143,144,303]
4484,[130,143,343]
4485,[152,156,334]
4486,[130,143,283]
4487,[175,231,334]
4488,[126,152,343]
4489,[143,231,334]
4490,[171,175,283]
4491,[152,172,283]
4493,[172,233,343]
4494,[135,139,343]
4495,[139,199,343]
4496,[130,233,294]
4497,[139,142,303]
4498,[131,301]
4505,[144,301]
4509,[135,231,343]
4510,[130,231,294]
4511,[130,303]
4512,[137,231,343]
4513,[127,135,343]
4514,[130,233,343]
4515,[127,156,343]
4516,[130,199,283]
4517,[137,233,283]
4519,[137,199,343]
4520,[144,231,333]
4521,[137,145,343]
4522,[144,231,276]
4523,[135,145,343]
4524,[145,176,343]
4525,[145,212,294]
4526,[145,176,303]
4527,[156,231,283]
4528,[156,231,343]
4529,[228,343]
4530,[367]
4531,[169,376]
4532,[130,235,283]
4533,[137,230,294]
4534,[172,235,294]
4535,[140,182,343]
4536,[152,206,232,343]
4537,[199,228,334]
4538,[208,232,241,344]
4539,[127,140,294]
4540,[137,230,283]
4541,[199,252,343]
4543,[126,230,294]
4544,[199,230,283]
4545,[172,235,283]
4546,[140,231,283]
4547,[146,301]
4548,[146,305]
4551,[146,231,283]
4552,[127,130,333]
4553,[130,333]
4554,[137,252,294]
4555,[146,235,283]
4556,[130,231,343]
4557,[156,175,333]
4558,[137,146,343]
4559,[130,144,343]
4560,[135,333]
4561,[132,156,294]
4562,[130,144,294]
4563,[127,144,294]
4564,[146,156,294]
4565,[127,146,283]
4566,[137,233,294]
4567,[130,252,283]
4568,[130,236,283]
